order_no,slug,bolum,alt_bolum,kayit_turu,ekleyen,baslik,aciklama,url,file_id,dosya_tipi,mime_type,gizlilik,public_import,import_onerisi,etiketler,source_path,status
1,i-c-kullanim-clemta-sirket-evraklari-burak-akcakanat-residency-permit-png,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,BURAK AKCAKANAT RESIDENCY PERMIT .png,Burak Akcakanat için oturum izni görselini içeren hassas resmi belge dosyasıdır.,https://drive.google.com/file/d/1-7aK9UR5U9eFNQpHaQownDNct0QT_DJw/view?usp=drivesdk,1-7aK9UR5U9eFNQpHaQownDNct0QT_DJw,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
2,i-c-kullanim-clemta-sirket-evraklari-baris-terziog-lu-address-recent-pdf,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,Barış Terzioğlu Address_Recent.pdf,Umut Barış Terzioğlu için güncel adres bilgisini gösteren hassas resmi belge dosyasıdır.,https://drive.google.com/file/d/163PMH5DLAnHjJAWNT2497SkckSAA8epx/view?usp=drivesdk,163PMH5DLAnHjJAWNT2497SkckSAA8epx,PDF,application/pdf,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
3,i-c-kullanim-clemta-sirket-evraklari-burak-akcakanat-mobile-invoice-p2-qatar-doha-png,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,BURAK AKCAKANAT  MOBILE INVOICE P2 QATAR DOHA .png,Burak Akcakanat adına düzenlenmiş mobil fatura görselinin ikinci sayfasıdır.,https://drive.google.com/file/d/1x41PoYUhwkrwvHcBUylZrfdsb9gERvKM/view?usp=drivesdk,1x41PoYUhwkrwvHcBUylZrfdsb9gERvKM,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
4,i-c-kullanim-clemta-sirket-evraklari-burak-akcakanat-mobi-le-invoice-p1-qatar-doha-2026-05,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,BURAK AKCAKANAT MOBİLE INVOICE  P1 QATAR DOHA 2026-05-22 at 18.33.40.png,Burak Akcakanat adına düzenlenmiş mobil fatura görselinin ilk sayfasıdır.,https://drive.google.com/file/d/1PEid9cUWuTVpsUAFC4AapTGI-966Pu6w/view?usp=drivesdk,1PEid9cUWuTVpsUAFC4AapTGI-966Pu6w,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
5,i-c-kullanim-clemta-sirket-evraklari-burak-akcakanat-offical-certf-of-address-png,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,Burak Akcakanat Offical Certf. of Address.png,Burak Akcakanat için resmi adres sertifikası görselini içeren hassas belge dosyasıdır.,https://drive.google.com/file/d/1weK2olsVozs8NHEoeEDANlXEgpCLj4Na/view?usp=drivesdk,1weK2olsVozs8NHEoeEDANlXEgpCLj4Na,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
6,i-c-kullanim-clemta-sirket-evraklari-u-baris-terziog-lu-residence-permit-front-jpeg,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,U Barış Terzioğlu Residence Permit Front.jpeg,Umut Barış Terzioğlu oturum izni ön yüz görselini içeren hassas kimlik belgesi dosyasıdır.,https://drive.google.com/file/d/1cRQfjQyjbW7inxdiYc887ANh3JhonAFd/view?usp=drivesdk,1cRQfjQyjbW7inxdiYc887ANh3JhonAFd,JPEG görsel,image/jpeg,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
7,i-c-kullanim-clemta-sirket-evraklari-baris-terzioglu-residence-permit-back-address-jpeg,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,Barış Terzioglu Residence Permit Back_ Address.jpeg,Umut Barış Terzioğlu oturum izni arka yüz ve adres bilgisi görselini içeren hassas belge dosyasıdır.,https://drive.google.com/file/d/1iK3OP4ynSb8mqwToA78Xy-brLhrsjh_C/view?usp=drivesdk,1iK3OP4ynSb8mqwToA78Xy-brLhrsjh_C,JPEG görsel,image/jpeg,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
8,i-c-kullanim-clemta-sirket-evraklari-u-baris-terziog-lu-pasaport-jpeg,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,U Barış Terzioğlu Pasaport.jpeg,Umut Barış Terzioğlu pasaport görselini içeren hassas kimlik belgesi dosyasıdır.,https://drive.google.com/file/d/1jqnM2_sgN9fSgfV0RA7SqH85d35SbRqq/view?usp=drivesdk,1jqnM2_sgN9fSgfV0RA7SqH85d35SbRqq,JPEG görsel,image/jpeg,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
9,i-c-kullanim-clemta-sirket-evraklari-burak-akcakanat-passport-heic,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,BURAK AKCAKANAT PASSPORT.HEIC,Burak Akcakanat pasaport görselini içeren hassas kimlik belgesi dosyasıdır.,https://drive.google.com/file/d/1S9kJucU5Z3TKZ46ydoGdn306DdtjrrbN/view?usp=drivesdk,1S9kJucU5Z3TKZ46ydoGdn306DdtjrrbN,HEIC görsel,image/heif,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
10,i-c-kullanim-clemta-sirket-evraklari-burak-akcakanat-bak-of-america-statement-png,İç Kullanım,CLEMTA - Şirket Evrakları,Link,UBT,BURAK AKCAKANAT BAK OF AMERICA STATEMENT .PNG,Burak Akcakanat banka hesap ekstresi görselini içeren hassas finansal belge dosyasıdır.,https://drive.google.com/file/d/1UHqeoJpoz1lPwgCLWBFLvAZi67fUZDxz/view?usp=drivesdk,1UHqeoJpoz1lPwgCLWBFLvAZi67fUZDxz,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"kimlik,resmi belge,finans,hassas",CLEMTA -ŞİRKET EVRAKLARI ORTAK KLASÖR,active
