Schema,Table,Index,Kolonlar,Unique,Scans,Olası_Unused,Duplicate_Aday,Risk,Oneri
public,admin_audit_logs,admin_audit_logs_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,admin_audit_logs,idx_admin_audit_logs_action_created,"action, created_at DESC",hayir,2,hayir,hayir,DUSUK,Koru
public,admin_audit_logs,idx_admin_audit_logs_actor_created,"actor_user_id, created_at DESC",hayir,2,hayir,hayir,DUSUK,Koru
public,admin_audit_logs,idx_admin_audit_logs_target_user_created,"target_user_id, created_at DESC",hayir,2,hayir,hayir,DUSUK,Koru
public,advisor_details,advisor_details_pkey,item_id,EVET,27,hayir,hayir,DUSUK,Koru
public,advisor_social_media_links,advisor_social_media_links_created_at_idx,created_at DESC,hayir,2,hayir,hayir,DUSUK,Koru
public,advisor_social_media_links,advisor_social_media_links_name_idx,name,hayir,2,hayir,hayir,DUSUK,Koru
public,advisor_social_media_links,advisor_social_media_links_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,appointments,appointments_pkey,id,EVET,1,hayir,hayir,DUSUK,Koru
public,appointments,idx_appointments_client,"client_id, scheduled_at",hayir,1,hayir,hayir,DUSUK,Koru
public,appointments,idx_appointments_provider,"provider_id, scheduled_at",hayir,1,hayir,hayir,DUSUK,Koru
public,approval_requests,approval_requests_pkey,id,EVET,1338,hayir,hayir,DUSUK,Koru
public,approval_requests,idx_approval_requests_created_at,created_at DESC,hayir,1338,hayir,hayir,DUSUK,Koru
public,approval_requests,idx_approval_requests_pending_unique,"user_id, request_type, COALESCE(target_role_key, ''::text",EVET,1338,hayir,hayir,DUSUK,Koru
public,approval_requests,idx_approval_requests_status,status,hayir,1338,hayir,hayir,DUSUK,Koru
public,approval_requests,idx_approval_requests_type_status,"request_type, status",hayir,1338,hayir,hayir,DUSUK,Koru
public,approval_requests,idx_approval_requests_user,user_id,hayir,1338,hayir,hayir,DUSUK,Koru
public,approval_requests,idx_approval_requests_user_status,"user_id, status",hayir,1338,hayir,hayir,DUSUK,Koru
public,arge_cards,arge_cards_pkey,id,EVET,7,hayir,hayir,DUSUK,Koru
public,arge_files,arge_files_card_id_idx,card_id,hayir,6,hayir,hayir,DUSUK,Koru
